               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.075104,            0.033559,                   0,                   0,                   0,                   0,                   0,            0.096714,             0.03152,                   0,           0.0098908,           0.0098908,           0.0098908
                  69,             0.07401,            0.031744,                   0,            0.075969,            0.052632,            0.024689,           0.0024689,            0.090754,            0.032455,                   0,           0.0098875,           0.0098875,           0.0098875
                  70,            0.076005,            0.033631,                   0,                   0,                   0,                   0,                   0,            0.098791,            0.026907,                   0,           0.0098842,           0.0098842,           0.0098842
                  71,            0.074977,            0.030365,                   0,            0.090909,             0.10526,            0.050238,           0.0098084,            0.094332,            0.029454,                   0,           0.0098808,           0.0098808,           0.0098808
                  72,            0.077649,            0.032501,                   0,             0.06522,            0.052632,            0.027943,           0.0027943,             0.09421,            0.029216,                   0,           0.0098774,           0.0098774,           0.0098774
                  73,            0.071199,            0.034566,                   0,             0.17391,             0.21053,             0.13178,            0.020709,            0.083338,             0.03343,                   0,           0.0098739,           0.0098739,           0.0098739
                  74,            0.072225,            0.031847,                   0,                 0.1,             0.10526,            0.064762,            0.021402,            0.076666,            0.033707,                   0,           0.0098704,           0.0098704,           0.0098704
                  75,            0.073124,            0.031483,                   0,             0.15789,             0.15789,            0.097938,            0.032035,            0.076496,            0.034539,                   0,           0.0098668,           0.0098668,           0.0098668
                  76,             0.07535,            0.028572,                   0,             0.13636,             0.15789,            0.082283,            0.018473,             0.08043,            0.033884,                   0,           0.0098632,           0.0098632,           0.0098632
                  77,            0.073035,            0.028344,                   0,                   0,                   0,                   0,                   0,            0.085542,             0.03227,                   0,           0.0098596,           0.0098596,           0.0098596
                  78,             0.07383,            0.030349,                   0,            0.086957,             0.10526,            0.048469,           0.0071855,            0.086635,            0.033155,                   0,           0.0098559,           0.0098559,           0.0098559
                  79,            0.071259,            0.034988,                   0,                0.25,             0.15789,             0.17723,            0.023026,            0.082957,             0.03252,                   0,           0.0098521,           0.0098521,           0.0098521
                  80,             0.07125,            0.033964,                   0,            0.094301,             0.15789,             0.08153,            0.018638,            0.080269,            0.036128,                   0,           0.0098483,           0.0098483,           0.0098483
                  81,              0.0769,             0.02954,                   0,              0.1086,             0.10526,            0.043282,           0.0080308,            0.075707,            0.035507,                   0,           0.0098445,           0.0098445,           0.0098445
                  82,            0.073246,            0.031932,                   0,                   0,                   0,                   0,                   0,            0.078464,            0.034627,                   0,           0.0098406,           0.0098406,           0.0098406
                  83,            0.073917,              0.0321,                   0,             0.14472,            0.052632,            0.047138,           0.0047138,            0.076239,            0.035043,                   0,           0.0098367,           0.0098367,           0.0098367
                  84,            0.070123,            0.030179,                   0,             0.45736,             0.10526,             0.17645,            0.038601,            0.076027,            0.033433,                   0,           0.0098327,           0.0098327,           0.0098327
                  85,            0.074656,            0.030452,                   0,             0.21053,             0.21053,              0.1816,            0.026519,            0.085588,            0.030058,                   0,           0.0098286,           0.0098286,           0.0098286
                  86,            0.071386,             0.03158,                   0,             0.39941,            0.052632,            0.063473,            0.018404,            0.074944,            0.034467,                   0,           0.0098246,           0.0098246,           0.0098246
                  87,            0.069793,            0.030134,                   0,             0.15666,             0.21053,            0.097952,            0.036216,            0.076002,            0.033151,                   0,           0.0098204,           0.0098204,           0.0098204
                  88,            0.070991,             0.02942,                   0,                 0.2,             0.26316,             0.20581,             0.03413,            0.081734,            0.029707,                   0,           0.0098163,           0.0098163,           0.0098163
                  89,            0.074074,            0.030223,                   0,            0.037037,            0.052632,            0.019571,           0.0039142,            0.080435,            0.032908,                   0,            0.009812,            0.009812,            0.009812
                  90,            0.069588,            0.031129,                   0,                   0,                   0,                   0,                   0,            0.082468,             0.03803,                   0,           0.0098078,           0.0098078,           0.0098078
                  91,            0.075169,            0.026496,                   0,            0.071429,             0.10526,            0.041103,           0.0080006,            0.088571,            0.031827,                   0,           0.0098035,           0.0098035,           0.0098035
                  92,            0.071945,            0.029433,                   0,                   0,                   0,                   0,                   0,            0.089617,             0.03049,                   0,           0.0097991,           0.0097991,           0.0097991
                  93,            0.070367,            0.031829,                   0,            0.050472,            0.052632,            0.022956,           0.0022956,            0.087384,            0.031658,                   0,           0.0097947,           0.0097947,           0.0097947
                  94,            0.075018,            0.025697,                   0,                   0,                   0,                   0,                   0,            0.091418,            0.037908,                   0,           0.0097902,           0.0097902,           0.0097902
                  95,            0.073297,            0.028461,                   0,             0.20516,             0.31579,             0.20442,            0.032309,             0.08104,            0.050287,                   0,           0.0097857,           0.0097857,           0.0097857
                  96,            0.072842,            0.029769,                   0,                   0,                   0,                   0,                   0,            0.091329,            0.034642,                   0,           0.0097812,           0.0097812,           0.0097812
                  97,            0.072569,            0.029706,                   0,                   0,                   0,                   0,                   0,            0.090699,            0.043607,                   0,           0.0097766,           0.0097766,           0.0097766
                  98,            0.068258,            0.032931,                   0,                   0,                   0,                   0,                   0,            0.089916,            0.087886,                   0,           0.0097719,           0.0097719,           0.0097719
                  99,            0.069923,            0.026927,                   0,             0.08367,            0.052632,            0.018074,           0.0036148,            0.080368,             0.10269,                   0,           0.0097672,           0.0097672,           0.0097672
                 100,            0.070552,            0.027737,                   0,                   0,                   0,                   0,                   0,             0.10386,            0.040201,                   0,           0.0097625,           0.0097625,           0.0097625
                 101,             0.07985,            0.024415,                   0,                   0,                   0,                   0,                   0,             0.10628,            0.031533,                   0,           0.0097577,           0.0097577,           0.0097577
                 102,            0.069657,            0.030229,                   0,                   0,                   0,                   0,                   0,             0.11138,            0.025607,                   0,           0.0097529,           0.0097529,           0.0097529
                 103,            0.068885,            0.026306,                   0,                   0,                   0,                   0,                   0,             0.11223,            0.021366,                   0,            0.009748,            0.009748,            0.009748
                 104,            0.073706,            0.026497,                   0,             0.33667,             0.21053,             0.11316,             0.03027,             0.09179,            0.032685,                   0,           0.0097431,           0.0097431,           0.0097431
                 105,            0.086248,            0.024455,                   0,                   0,                   0,                   0,                   0,              0.1225,            0.015443,                   0,           0.0097381,           0.0097381,           0.0097381
                 106,            0.071785,            0.029596,                   0,                   0,                   0,                   0,                   0,             0.12349,            0.014751,                   0,           0.0097331,           0.0097331,           0.0097331
                 107,            0.069941,            0.026396,                   0,                   0,                   0,                   0,                   0,             0.11397,             0.01866,                   0,           0.0097281,           0.0097281,           0.0097281
                 108,            0.066832,            0.031992,                   0,                   0,                   0,                   0,                   0,             0.10682,            0.021267,                   0,            0.009723,            0.009723,            0.009723
                 109,            0.075287,            0.028984,                   0,            0.038462,            0.052632,            0.021794,           0.0021794,             0.10985,            0.023362,                   0,           0.0097178,           0.0097178,           0.0097178
                 110,            0.071557,            0.027977,                   0,            0.074074,             0.10526,            0.042657,           0.0062313,              0.0991,            0.026485,                   0,           0.0097126,           0.0097126,           0.0097126
                 111,            0.070803,            0.026776,                   0,                   0,                   0,                   0,                   0,            0.091828,            0.030307,                   0,           0.0097074,           0.0097074,           0.0097074
                 112,            0.069437,            0.028033,                   0,                   0,                   0,                   0,                   0,            0.082715,            0.032677,                   0,           0.0097021,           0.0097021,           0.0097021
                 113,            0.068805,            0.028338,                   0,            0.089774,             0.10526,            0.054904,           0.0054904,            0.076514,            0.032726,                   0,           0.0096967,           0.0096967,           0.0096967
                 114,            0.066933,            0.031796,                   0,             0.12059,             0.10526,            0.088309,            0.012091,            0.075241,            0.032042,                   0,           0.0096914,           0.0096914,           0.0096914
                 115,            0.073702,            0.029075,                   0,             0.10535,             0.10526,            0.066943,            0.012354,            0.088956,            0.027033,                   0,           0.0096859,           0.0096859,           0.0096859
                 116,            0.070321,            0.029308,                   0,              0.1684,             0.10526,             0.14241,            0.022275,             0.08864,            0.026822,                   0,           0.0096804,           0.0096804,           0.0096804
                 117,             0.06604,            0.028686,                   0,             0.27614,             0.15789,             0.20029,            0.054578,            0.079281,            0.027241,                   0,           0.0096749,           0.0096749,           0.0096749
                 118,            0.066352,            0.027859,                   0,                 0.2,             0.21053,             0.17805,            0.029994,            0.081301,            0.028011,                   0,           0.0096694,           0.0096694,           0.0096694
                 119,            0.065696,            0.029038,                   0,             0.32886,             0.21053,             0.30013,            0.040641,            0.071848,            0.031145,                   0,           0.0096638,           0.0096638,           0.0096638
                 120,            0.069046,            0.025614,                   0,                 0.5,             0.10526,             0.27631,            0.082494,            0.085871,            0.031666,                   0,           0.0096581,           0.0096581,           0.0096581
                 121,            0.070927,            0.027836,                   0,             0.16912,             0.21053,            0.089864,            0.020167,             0.06805,            0.034106,                   0,           0.0096524,           0.0096524,           0.0096524
                 122,            0.068845,            0.027892,                   0,             0.34618,             0.26316,             0.22006,            0.038394,            0.073794,            0.030422,                   0,           0.0096466,           0.0096466,           0.0096466
                 123,            0.063404,            0.028452,                   0,             0.50386,             0.15789,             0.20088,            0.026036,            0.081723,            0.030004,                   0,           0.0096409,           0.0096409,           0.0096409
                 124,            0.072666,            0.024702,                   0,             0.13644,             0.15789,            0.073695,            0.013431,            0.081052,            0.031236,                   0,            0.009635,            0.009635,            0.009635
                 125,            0.066713,            0.028869,                   0,            0.095418,             0.10526,            0.051907,            0.016443,            0.083595,            0.027919,                   0,           0.0096291,           0.0096291,           0.0096291
                 126,            0.073425,            0.025195,                   0,            0.066667,             0.10526,            0.037218,           0.0076496,            0.079498,            0.031983,                   0,           0.0096232,           0.0096232,           0.0096232
                 127,            0.074924,            0.029407,                   0,            0.074805,             0.10526,            0.038559,           0.0053162,            0.081941,            0.039555,                   0,           0.0096172,           0.0096172,           0.0096172
                 128,            0.068217,            0.025604,                   0,             0.10808,             0.15789,             0.10775,            0.022758,            0.077982,            0.036514,                   0,           0.0096112,           0.0096112,           0.0096112
                 129,            0.066193,            0.027893,                   0,                   0,                   0,                   0,                   0,            0.094635,            0.031776,                   0,           0.0096051,           0.0096051,           0.0096051
                 130,            0.063886,            0.028713,                   0,            0.041667,            0.052632,            0.022029,           0.0022029,            0.093691,            0.027546,                   0,            0.009599,            0.009599,            0.009599
                 131,            0.065285,            0.029069,                   0,             0.15269,            0.052632,            0.038825,            0.019412,            0.080479,            0.027995,                   0,           0.0095929,           0.0095929,           0.0095929
                 132,            0.067102,            0.027083,                   0,             0.68912,             0.15789,             0.23392,            0.045432,            0.067937,            0.033291,                   0,           0.0095867,           0.0095867,           0.0095867
                 133,            0.070703,            0.026809,                   0,             0.54987,             0.42105,             0.48254,             0.14088,            0.062288,            0.031905,                   0,           0.0095804,           0.0095804,           0.0095804
                 134,            0.065313,            0.029439,                   0,              0.4992,             0.47225,              0.4437,             0.10839,            0.066814,            0.032517,                   0,           0.0095742,           0.0095742,           0.0095742
                 135,            0.068925,            0.027478,                   0,             0.43925,             0.31579,             0.33335,            0.056009,            0.066771,            0.030833,                   0,           0.0095678,           0.0095678,           0.0095678
                 136,            0.066243,            0.027711,                   0,             0.35479,             0.42105,             0.38558,             0.11092,            0.068128,             0.02882,                   0,           0.0095614,           0.0095614,           0.0095614
                 137,            0.065074,            0.027988,                   0,             0.58881,             0.26316,             0.33358,             0.05682,            0.064877,            0.031662,                   0,            0.009555,            0.009555,            0.009555
                 138,              0.0681,            0.025037,                   0,             0.62805,             0.35638,             0.40457,            0.059996,            0.067361,            0.029952,                   0,           0.0095486,           0.0095486,           0.0095486
                 139,            0.066838,            0.025196,                   0,              0.3006,             0.31579,             0.20236,            0.066408,            0.063787,            0.029671,                   0,            0.009542,            0.009542,            0.009542
                 140,            0.064799,            0.027286,                   0,             0.41224,             0.26316,             0.32501,            0.055915,            0.072505,            0.029385,                   0,           0.0095355,           0.0095355,           0.0095355
                 141,            0.069261,            0.028158,                   0,             0.24353,             0.26316,             0.23004,            0.055646,             0.06747,             0.02799,                   0,           0.0095289,           0.0095289,           0.0095289
                 142,            0.066674,             0.02576,                   0,             0.65093,             0.31579,             0.39253,            0.052877,            0.067295,             0.03016,                   0,           0.0095223,           0.0095223,           0.0095223
                 143,             0.06641,            0.025793,                   0,             0.44499,             0.26316,             0.35901,            0.088383,            0.060805,             0.03184,                   0,           0.0095156,           0.0095156,           0.0095156
                 144,             0.06854,            0.026173,                   0,             0.25196,             0.21053,             0.16898,            0.046065,            0.067815,            0.029839,                   0,           0.0095088,           0.0095088,           0.0095088
                 145,            0.063397,            0.028182,                   0,             0.35127,             0.26316,             0.24768,            0.048813,            0.068014,            0.029165,                   0,           0.0095021,           0.0095021,           0.0095021
                 146,            0.067314,            0.026245,                   0,              0.5509,             0.21053,             0.31833,            0.068243,            0.062456,            0.030426,                   0,           0.0094952,           0.0094952,           0.0094952
                 147,            0.069287,            0.029186,                   0,             0.56597,             0.54974,             0.52739,             0.11521,            0.061032,            0.030516,                   0,           0.0094884,           0.0094884,           0.0094884
                 148,            0.064148,            0.025956,                   0,              0.4157,             0.36842,             0.28392,             0.06317,            0.069039,            0.030709,                   0,           0.0094815,           0.0094815,           0.0094815
                 149,            0.063433,            0.027254,                   0,             0.29371,             0.31579,             0.17066,            0.056218,            0.071604,            0.032479,                   0,           0.0094745,           0.0094745,           0.0094745
                 150,            0.061072,            0.026361,                   0,             0.30931,             0.26316,             0.17123,            0.025395,            0.071593,            0.031004,                   0,           0.0094675,           0.0094675,           0.0094675
                 151,             0.06975,             0.02505,                   0,             0.23341,             0.26316,             0.16471,            0.055207,            0.074097,            0.031604,                   0,           0.0094605,           0.0094605,           0.0094605
                 152,            0.069264,             0.02627,                   0,            0.093931,             0.10526,            0.059458,             0.01316,            0.081483,            0.029474,                   0,           0.0094534,           0.0094534,           0.0094534
